brand_name,canonical_brand_name,metric_name,workbook_value,reference_value,absolute_error,relative_error,source_type,source_name,source_locator,as_of_date,method_reported_or_estimated,confidence_score,provenance_grade,publish_status_candidate,selected_source_tier,primary_source_status,scope_notes
Arby's,Arby's,auv,1400.0,1300.0,100.0,0.07692307692307693,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Arby's,Arby's,store_count,3300.0,3365.0,65.0,0.019316493313521546,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Arby's,Arby's,system_sales,4.7,4.325,0.375,0.08670520231213873,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Burger King,Burger King,auv,1600.0,1639.0,39.0,0.023794996949359364,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Burger King,Burger King,store_count,6700.0,6701.0,1.0,0.00014923145799134458,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Burger King,Burger King,system_sales,10.6,10.98,0.3800000000000008,0.03460837887067402,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Chick-fil-A,Chick-fil-A,auv,7500.0,,,,,,,,,,,blocked,missing,no_primary_source,
Chick-fil-A,Chick-fil-A,store_count,3059.0,,,,,,,,,,,blocked,missing,no_primary_source,
Chick-fil-A,Chick-fil-A,system_sales,22.7,,,,,,,,,,,blocked,missing,no_primary_source,
Chipotle,Chipotle,auv,3018.0,,,,,,,,,,,blocked,missing,no_primary_source,
Chipotle,Chipotle,store_count,3700.0,,,,,,,,,,,blocked,missing,scope_mismatch,Not directly comparable to the workbook U.S. store_count because the disclosure is total restaurants rather than a U.S.-only brand count
Chipotle,Chipotle,system_sales,11.3,,,,,,,,,,,blocked,missing,no_primary_source,
Culver's,Culver's,auv,3487.0,,,,,,,,,,,blocked,missing,no_primary_source,
Culver's,Culver's,store_count,944.0,,,,,,,,,,,blocked,missing,no_primary_source,
Culver's,Culver's,system_sales,3.3,,,,,,,,,,,blocked,missing,no_primary_source,
Domino's,Domino's,auv,1400.0,1354.0,46.0,0.033973412112259974,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Domino's,Domino's,store_count,6800.0,7014.0,214.0,0.03051040775591674,investor_relations,Domino's Pizza Announces Fourth Quarter and Fiscal 2024 Financial Results,https://ir.dominos.com/news-releases/news-release-details/dominos-pizzar-announces-fourth-quarter-and-fiscal-2024,2024-12-29,reported,0.98,A,publishable,primary_source,used_primary_source,Direct U.S. brand store count and U.S. retail sales are comparable to workbook store_count and system_sales
Domino's,Domino's,system_sales,9.5,9.5001,9.999999999976694e-05,1.0526204987291392e-05,investor_relations,Domino's Pizza Announces Fourth Quarter and Fiscal 2024 Financial Results,https://ir.dominos.com/news-releases/news-release-details/dominos-pizzar-announces-fourth-quarter-and-fiscal-2024,2024-12-29,reported,0.98,A,publishable,primary_source,used_primary_source,Direct U.S. brand store count and U.S. retail sales are comparable to workbook store_count and system_sales
Dunkin',Dunkin',auv,1200.0,1300.0,100.0,0.07692307692307693,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Dunkin',Dunkin',store_count,9509.0,9768.0,259.0,0.026515151515151516,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Dunkin',Dunkin',system_sales,11.4,12.468,1.0679999999999996,0.08565928777670834,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Dutch Bros,Dutch Bros,auv,1973.0,2018.0,45.0,0.022299306243805748,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Dutch Bros,Dutch Bros,store_count,831.0,982.0,151.0,0.15376782077393075,sec_filings,Dutch Bros 2024 Annual Report,https://investors.dutchbros.com/files/doc_financials/2024/ar/Dutch-Bros-Inc-2024-Annual-Report.pdf,2024-12-31,reported,0.97,A,blocked,primary_source,used_primary_source,Systemwide shop count is directly comparable because the issuer's 2024 footprint is U.S.-only
Dutch Bros,Dutch Bros,system_sales,1.4,1.819,0.41900000000000004,0.23034634414513472,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Five Guys,Five Guys,auv,1780.0,,,,,,,,,,,blocked,missing,no_primary_source,
Five Guys,Five Guys,store_count,1800.0,,,,,,,,,,,blocked,missing,no_primary_source,
Five Guys,Five Guys,system_sales,3.2,,,,,,,,,,,blocked,missing,no_primary_source,
In-N-Out,In-N-Out,auv,3130.0,,,,,,,,,,,blocked,missing,no_primary_source,
In-N-Out,In-N-Out,store_count,410.0,,,,,,,,,,,blocked,missing,no_primary_source,
In-N-Out,In-N-Out,system_sales,1.25,,,,,,,,,,,blocked,missing,no_primary_source,
Jack in the Box,Jack in the Box,auv,2032.0,,,,,,,,,,,blocked,missing,no_primary_source,
Jack in the Box,Jack in the Box,store_count,2185.0,,,,,,,,,,,blocked,missing,no_primary_source,
Jack in the Box,Jack in the Box,system_sales,4.4,,,,,,,,,,,blocked,missing,no_primary_source,
Jersey Mike's,Jersey Mike's,auv,1460.0,1325.0,135.0,0.1018867924528302,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Jersey Mike's,Jersey Mike's,store_count,2800.0,2997.0,197.0,0.0657323990657324,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Jersey Mike's,Jersey Mike's,system_sales,4.1,3.731,0.3689999999999998,0.09890109890109884,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Jimmy John's,Jimmy John's,auv,960.0,977.0,17.0,0.017400204708290685,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Jimmy John's,Jimmy John's,store_count,2600.0,2689.0,89.0,0.033097805875790254,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Jimmy John's,Jimmy John's,system_sales,2.5,2.599,0.0990000000000002,0.03809157368218553,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
KFC,KFC,auv,1450.0,1336.0,114.0,0.08532934131736528,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
KFC,KFC,store_count,3800.0,3669.0,131.0,0.035704551648950665,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
KFC,KFC,system_sales,5.5,4.9,0.5999999999999996,0.12244897959183665,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Little Caesars,Little Caesars,auv,1100.0,900.0,200.0,0.2222222222222222,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,blocked,secondary_fallback,no_primary_source,
Little Caesars,Little Caesars,store_count,3800.0,4285.0,485.0,0.11318553092182031,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,blocked,secondary_fallback,no_primary_source,
